id,title,author,year
375,Roosevelt: The Lion and the Fox (1882–1940),James MacGregor Burns,1956
376,Microbe Hunters,Paul de Kruif,1926
377,Man's Search for Meaning,Victor Frankl,1984
378,The Tao of Physics,Fritjof Capra,1975
379,The Reason Why,Cecil Woodham-Smith,1953
380,L'Encyclopédie,Diderot,1751
381,One Two Three . . . Infinity: Facts and Speculations of Science,George Gamow,1947
382,Escape from Freedom,Erich Fromm,1941
383,Diaries,Alan Clark,1983
384,Atlas,Gerardus Mercator,1585
385,The Mismeasure of Man,Stephen Jay Gould,1981
386,Persepolis,Marjane Satrapi,2000
387,The Proper Study of Mankind,Isaiah Berlin,1997
388,Nature and Destiny of Man,Reinhold Niebuhr,1943
389,Being and Nothingness,Jean-Paul Sartre,1943
390,Narrative of the Life of Frederick Douglass,Frederick Douglass,1845
391,Pilgrim at Tinker Creek,Annie Dillard,1975
392,A Long Way Gone: Memoirs of a Boy Soldier,Ishmael Beah,
393,This Boy's Life,Tobias Wolff,1989
394,Syntactic Structures,Noam Chomsky,1957
395,Cybernetics,Norbert Wiener,1950
396,My Childhood,Maxim Gorky,1913
397,I and Thou,Martin Buber,1923
398,Long Walk to Freedom: The Autobiography of Nelson Mandela,Nelson Mandela,1995
399,All the President's Men,"Bob Woodward, Carl Bernstein",
400,Beyond Freedom and Dignity,B.F. Skinner,1971
401,The Feminine Mystique,Betty Friedan,1963
402,The Principia Mathematica,Alfred North Whitehead and Bertrand Russell,1913
403,The Mirror and the Lamp,Meyer Howard Abrams,1953
404,The Ants,E. O. Wilson and Bert Hölldobler,1990
405,The Art of the Soluble: Creativity and Originality in Science,Peter B. Medawar,1967
406,A Theory of Justice,John Rawls,1971
407,Children of Crisis,Robert Coles,1967
408,Art and Illusion,Ernest H. Gombrich,1960
409,The Great War and Modern Memory,Paul Fussell,1975
410,The Souls of Black Folk,W.E.B. Du Bois,1903
411,Shadow and ACT,Ralph Ellison,1964
412,A Distant Mirror,Barbara Tuchman,1978
413,Meditations on First Philosophy,René Descartes,1641
414,The Course in Positive Philosophy,Auguste Comte,1842
415,On the Babylonian Captivity of the Church,Martin Luther,1520
416,Beelzebub's Tales to His Grandson,George Ivanovitch Gurdjieff,1950
417,Treatise on Electricity and Magnetism,James Clerk Maxwell,1873
418,Psychological Types,Carl Jung,1921
419,The Man Who Mistook His Wife for a Hat,Oliver Sacks,
420,First Principles,Herbert Spencer,1862
421,Works of Gottfried Wilhelm Leibniz,Gottfried Wilhelm Leibniz,1716
422,Allegorical Expositions of the Holy Laws,Philo of Alexandria,50
423,Outlines of Pyrrhonism,Sextus Empiricus,175
424,Reflections on the Revolution in France,Edmund Burke,1790
425,The Immortal Life of Henrietta Lacks,Rebecca Skloot,
426,Experiments on Plant Hybridization,Gregor Mendel,1865
427,Enquiry Concerning Political Justice,William Godwin,1793
428,The Consolation of Philosophy,Boethius,524
429,The Logic of Scientific Discovery,Karl Popper,1934
430,Phenomenology of Mind,G. W. F. Hegel,1807
431,The Guide for the Perplexed,Moses Maimonides,1190
432,The New Science,Giambattista Vico,1725
433,The Mind and Society,Vilfredo Pareto,1916
434,A Treatise of Human Nature,David Hume,1739
435,Novum Organum,Francis Bacon,1620
436,A Treatise Concerning the Principles of Human Knowledge,George Berkeley,1710
437,The Nicomachean Ethics,Aristotle,-400
438,Principia Ethica,George Moore,1903
439,Great Bridge,David McCullough,1972
440,Philosophy and Civilization,John Dewey,1931
441,The Age of Jackson,"Arthur Schlesinger, Jr.",1945
442,Maus,Art Spiegelman,1986
443,On Growth and Form,D'Arcy Wentworth Thompson,1917
444,Ideas and Opinions,Albert Einstein,1954
445,Science and Civilisation in China,Joseph Needham,1954
446,Against Interpretation,Susan Sontag,1966
447,The Path to Power,Robert Caro,1982
448,The Autobiography of Mark Twain,Mark Twain,1959
449,Present at the Creation,Dean Acheson,1969
450,Why We Can't Wait,"Martin Luther King, Jr.",1964
