id,title,author,avg_rating,ratings,url,img,pages,year
525,Wise Blood,Flannery O'Connor,3.89,"18,384",/book/show/48467.Wise_Blood,https://d2arxad8u2l0g7.cloudfront.net/books/1389629799l/48467.jpg,256,1952
526,"The Complete Poems, 1927-1979",Elizabeth Bishop,4.19,"9,331",/book/show/420278.The_Complete_Poems_1927_1979,https://d2arxad8u2l0g7.cloudfront.net/books/1436422208l/420278.jpg,272,1979
527,"The Collected Poems, Vol. 1: 1909-1939",William Carlos Williams,4.19,"5,481",/book/show/72155.The_Collected_Poems_Vol_1,https://d2arxad8u2l0g7.cloudfront.net/books/1412527910l/72155.jpg,465,1939
528,Cathedral,Raymond Carver,4.30,"18,622",/book/show/11449.Cathedral,https://d2arxad8u2l0g7.cloudfront.net/books/1421615759l/11449.jpg,230,1984
529,,,,,,,,1792
530,The Collected Stories,Eudora Welty,4.24,"6,345",/book/show/12577.The_Collected_Stories,https://d2arxad8u2l0g7.cloudfront.net/books/1433802019l/12577.jpg,622,1982
531,Les Tragiques,Agrippa d'Aubigné,3.15,34,/book/show/1452632.Les_Tragiques,https://d2arxad8u2l0g7.cloudfront.net/books/1405864556l/1452632.jpg,568,1616
532,Birds of America,Lorrie Moore,4.12,"10,853",/book/show/19631.Birds_of_America,https://d2arxad8u2l0g7.cloudfront.net/books/1388641896l/19631.jpg,291,1998
533,His Dark Materials (His Dark Materials #1-3),Philip Pullman,4.24,"95,848",/book/show/18116.His_Dark_Materials,https://d2arxad8u2l0g7.cloudfront.net/books/1442329494l/18116.jpg,1088,1995
534,Poèmes antiques et modernes - Les Destinées,Alfred de Vigny,3.81,26,/book/show/2015586.Po_mes_antiques_et_modernes_Les_Destin_es,https://d2arxad8u2l0g7.cloudfront.net/books/1328306783l/2015586.jpg,320,1864
535,Love Medicine,Louise Erdrich,3.97,"15,596",/book/show/91440.Love_Medicine,https://d2arxad8u2l0g7.cloudfront.net/books/1442951349l/91440.jpg,367,1984
536,Betrayed by Rita Hayworth,Manuel Puig,3.67,452,/book/show/71761.Betrayed_by_Rita_Hayworth,https://d2arxad8u2l0g7.cloudfront.net/books/1255448514l/71761.jpg,,1968
537,The Hobbit An Unexpected Journey: Untold tale of The Hobbit,J.J. Tolken,4.63,131,/book/show/24213848-the-hobbit-an-unexpected-journey,https://d2arxad8u2l0g7.cloudfront.net/books/1419984557l/24213848.jpg,,1937
538,Emigrants,Hector Bolitho,it was amazing 5.00,,/book/show/3692361-emigrants,,223,1992
539,Daniel Deronda,George Eliot,3.81,"17,443",/book/show/304.Daniel_Deronda,https://d2arxad8u2l0g7.cloudfront.net/books/1320432000l/304.jpg,796,1876
540,Paradise Lost (Longman Annotated English Poets),John Milton,3.79,"97,665",/book/show/284235.Paradise_Lost,https://d2arxad8u2l0g7.cloudfront.net/books/1375669868l/284235.jpg,716,1929
541,Andersonville,MacKinlay Kantor,4.10,"5,861",/book/show/77239.Andersonville,https://d2arxad8u2l0g7.cloudfront.net/books/1424334448l/77239.jpg,766,1955
542,The Man in the High Castle,Philip K. Dick,3.71,"80,729",/book/show/216363.The_Man_in_the_High_Castle,https://d2arxad8u2l0g7.cloudfront.net/books/1448756803l/216363.jpg,259,1962
543,Six Characters in Search of an Author,Luigi Pirandello,3.83,"9,532",/book/show/741618.Six_Characters_in_Search_of_an_Author,https://d2arxad8u2l0g7.cloudfront.net/books/1373814414l/741618.jpg,64,1921
544,The Transit of Venus,Shirley Hazzard,3.83,"1,503",/book/show/12738.The_Transit_of_Venus,https://d2arxad8u2l0g7.cloudfront.net/books/1347622666l/12738.jpg,352,1980
545,Cold Mountain,Charles Frazier,3.82,"176,328",/book/show/10920.Cold_Mountain,https://d2arxad8u2l0g7.cloudfront.net/books/1442416348l/10920.jpg,449,1997
546,Ubu Roi,Alfred Jarry,3.67,"3,173",/book/show/517693.Ubu_Roi,https://d2arxad8u2l0g7.cloudfront.net/books/1347398578l/517693.jpg,186,1896
547,A Lost Lady,Willa Cather,3.65,"3,297",/book/show/48200.A_Lost_Lady,https://d2arxad8u2l0g7.cloudfront.net/books/1328848526l/48200.jpg,167,1923
548,"Collected Works of Paul Valery, Volume 15: Moi",Paul Valéry,0.00,0,/book/show/3097010-collected-works-of-paul-valery-volume-15,,436,1945
549,The Hamlet,William Faulkner,3.86,"3,567",/book/show/12995.The_Hamlet,https://d2arxad8u2l0g7.cloudfront.net/books/1393061566l/12995.jpg,409,1940
550,Lunch Poems,Frank O'Hara,4.21,"5,741",/book/show/139867.Lunch_Poems,https://d2arxad8u2l0g7.cloudfront.net/books/1328774773l/139867.jpg,82,1964
551,Three Lives,Gertrude Stein,3.17,"2,546",/book/show/161402.Three_Lives,https://d2arxad8u2l0g7.cloudfront.net/books/1328867225l/161402.jpg,176,1909
552,Conversation in the Cathedral,Mario Vargas Llosa,4.31,"4,077",/book/show/53970.Conversation_in_the_Cathedral,https://d2arxad8u2l0g7.cloudfront.net/books/1410128964l/53970.jpg,608,1969
553,The Complete Poetry,César Vallejo,4.55,747,/book/show/186393.The_Complete_Poetry,https://d2arxad8u2l0g7.cloudfront.net/books/1348361256l/186393.jpg,732,1979
554,Carmen,Prosper Mérimée,3.53,"2,106",/book/show/193856.Carmen,https://d2arxad8u2l0g7.cloudfront.net/books/1347716305l/193856.jpg,64,1845
555,,,,,,,,1763
556,La Légende des siècles,Victor Hugo,4.14,88,/book/show/3205394-la-l-gende-des-si-cles,https://d2arxad8u2l0g7.cloudfront.net/books/1336550837l/3205394.jpg,1030,1859
557,The Last Books of Héctor Viel Temperley,Héctor Viel Temperley,4.20,10,/book/show/13185220-the-last-books-of-h-ctor-viel-temperley,https://d2arxad8u2l0g7.cloudfront.net/books/1328384358l/13185220.jpg,96,1982
558,4 poemas de Pablo Neruda y un amanecer en la isla/ 4 Poems of Pablo Neruda and a Dawn in the Island,Pablo Neruda,0.00,0,/book/show/1430969.4_poemas_de_Pablo_Neruda_y_un_amanecer_en_la_isla_4_Poems_of_Pablo_Neruda_and_a_Dawn_in_the_Island,https://d2arxad8u2l0g7.cloudfront.net/books/1266800505l/1430969.jpg,36,1975
559,The Burning Plain and Other Stories,Juan Rulfo,4.15,"7,771",/book/show/38788.The_Burning_Plain_and_Other_Stories,https://d2arxad8u2l0g7.cloudfront.net/books/1388949726l/38788.jpg,191,1953
560,"Los lanzallamas (Los siete locos, #2)",Roberto Arlt,4.08,382,/book/show/214702.Los_lanzallamas,https://d2arxad8u2l0g7.cloudfront.net/books/1332200775l/214702.jpg,280,1931
561,Calligrammes,Guillaume Apollinaire,really liked it 4.00,5,/book/show/30404977-calligrammes,https://d2arxad8u2l0g7.cloudfront.net/books/1465605512l/30404977.jpg,96,1918
562,Juan de Mairena,Antonio Machado,4.21,75,/book/show/7253106-juan-de-mairena,https://d2arxad8u2l0g7.cloudfront.net/books/1259908371l/7253106.jpg,340,1936
563,La Regenta,"Leopoldo Alas ""Clarín""",3.97,"1,891",/book/show/69413.La_Regenta,https://d2arxad8u2l0g7.cloudfront.net/books/1405436155l/69413.jpg,1024,1884
564,,,,,,,,1982
565,Rimas,Gustavo Adolfo Bécquer,4.20,959,/book/show/1134734.Rimas,https://d2arxad8u2l0g7.cloudfront.net/books/1401230805l/1134734.jpg,0,1850
566,Fortunata y Jacinta - Volumen I,Benito Pérez Galdós,4.22,219,/book/show/214753.Fortunata_y_Jacinta_Volumen_I,https://d2arxad8u2l0g7.cloudfront.net/books/1222492849l/214753.jpg,720,1887
567,La Celestina,Fernando de Rojas,3.38,"7,250",/book/show/214858.La_Celestina,https://d2arxad8u2l0g7.cloudfront.net/books/1405559122l/214858.jpg,336,1499
568,Ventilation in Shipyard Employment,U.S. Department of Labor,0.00,0,/book/show/21447689-ventilation-in-shipyard-employment,https://d2arxad8u2l0g7.cloudfront.net/books/1396834080l/21447689.jpg,26,1961
569,Residence on Earth,Pablo Neruda,4.40,"2,947",/book/show/214888.Residence_on_Earth,https://d2arxad8u2l0g7.cloudfront.net/books/1385248113l/214888.jpg,359,1933
