311,The Woman in White,Wilkie Collins,1859
312,Oblomov,Ivan Goncharov,1859
313,The Sleepwalkers,Hermann Broch,1931
314,The Custom of the Country,Edith Wharton,1913
315,Mourning Becomes Electra, Eugene O'Neill,1931
316,The Recognition of Sakuntala,Kalidasa,-200
317,Jacques the Fatalist and His Master,Denis Diderot,1796
318,Zorba the Greek,Nikos Kazantzakis,1946
319,The Jungle,Upton Sinclair,1906
320,The Sorrows of Young Werther,Johann Wolfgang von Goethe,1774
321,"So Long, See You Tomorrow",William Maxwell,1981
322,White Noise ,Don DeLillo,1985
323,Siddhartha,Hermann Hesse,1922
324,The Waste Land and Other Poems,T. S. Eliot,1965
325,The Temple of the Golden Pavilion,Yukio Mishima,1956
326,Journey to the West, Wu Cheng'en,1592
327,The Time Machine,H. G. Wells,1895
328,Middlesex,Jeffrey Eugenides,2002
329,Adolphe,Benjamin Constant,1816
330,Persuasion,Jane Austen,1818
331,Wide Sargasso Sea,Jean Rhys,1966
332,The Naked Dead,Norman Mailer,1948
333,Le Cid,Pierre Corneille,1637
334,The Adventures of Tom Sawyer,Mark Twain,1876
335,The Things They Carried,Tim O'Brien,1990
336,Lyrical Ballads,"William Wordsworth, Samuel Taylor Coleridge",1798
337,Labyrinths,Jorge Luis Borges,1962
338,The Faerie Queene,Edmund Spenser,1590
339,The Alchemist,Paulo Coelho ,1988
340,The World According to Garp,John Irving ,1978
341,White Teeth ,Zadie Smith,2000
342,The Alexandria Quartet ,Lawrence Durrell,1957
343,Othello,William Shakespeare,1603
344,Death of Virgil,Hermann Broch,1945
345,Journals: 1889-1913,André Gide,
346,At Swim Two-Birds,Flann O'Brien,1939
347,Breakfast at Tiffany's,Truman Capote,1958
348,Don Juan: A Poem,Lord Byron,1819
349,Bouvard et Pécuchet,GUSTAVE FLAUBERT,1881
350,Bartleby the Scrivener,Herman Melville,1853
351,The War of the End of the World,Mario Vargas Llosa,1981
352,Rubaiyat of Omar Khayyam,Edward FitzGerald,1859
353,Pippi Longstocking,Astrid Lindgren,1945
354,The Mill on the Floss,George Eliot,1860
355,History,Elsa Morante,1974
356,Ethan Frome,Edith Wharton,1911
357,Collected Poems,Stéphane Mallarmé,1898
358,Germinal,Émile Zola,1885
359,The Wonderful Wizard of Oz,L. Frank Baum ,1900
360,The Golden Bowl,Henry James,1904
361,The Good Earth,Pearl S. Buck,1931
362,"Carry On, Jeeves",P.G. Wodehouse,1925
363,Invisible Cities,Italo Calvino,1972
364,Collected Poems,Arthur Rimbaud,1954
365,Romeo and Juliet,William Shakespeare,1597
366,The Road,Cormac McCarthy,2006
367,Manon Lescaut,Abbe Prevost,1731
368,The Rainbow,D. H. Lawrence,1915
369,Tristan,Gottfried von Strassburg,1210
370,Hopscotch,Julio Cortázar,1963
371,Three Sisters,Anton Chekhov,1901
372,A Christmas Carol,Charles Dickens,1843
373,Hippolytus,Euripides,-428
374,The Killer Angels,Michael Shaara,1974
375,The Makioka Sisters,Tanizaki Jun’ichirō,1948
376,The Way We Live Now,Anthony Trollope ,1875
377,Jesus' Son,Denis Johnson,1999
378,War of the Worlds,H. G. Wells,1898
379,Atlas Shrugged,Ayn Rand,1957
380,The Bell Jar,Sylvia Plath,1963
381,The Complete Poetry and Selected Prose of John Donne,John Donne,1631
382,Neuromancer ,William Gibson,1984
383,Go Tell it on the Mountain ,James Baldwin,1953
384,The Phantom Tollbooth,Norton Juster,
385,The Book Thief,Markus Zusak,2005
386,All the Pretty Horses,Cormac McCarthy,1992
387,The Devil to Pay in the Backlands,Joao Guimaraes Rosa,1956
388,Fragments,Heraclitus,-475
389,Darkness at Noon,Arthur Koestler,1940
390,The Short Stories of F. Scott Fitzgerald,F. Scott Fitzgerald,1940
391,Humboldt's Gift,Saul Bellow,1975
392,Housekeeping,Marilynne Robinson,1980
393,Fables of La Fontaine,Jean de La Fontaine,1694
394,Omeros,Derek Walcott,1990
395,The Death of Ivan Ilyich,Leo Tolstoy,1886
396,Diary of a Madman and Other Stories,Xun Lu,1918
397,The Master Builder,Henrik Ibsen,1892
398,Saint Joan,George Bernard Shaw,1923
399,Uncle Vanya,Anton Chekhov,1899
400,Little Dorrit,Charles Dickens,1857
401,The Wild Duck,Henrik Ibsen,1885
402,The Maias: Episodes from Romantic Life,Eça de Queirós,1888
403,The Remains of the Day,Kazuo Ishiguro,1989
404,Watchmen ,Alan Moore and Dave Gibbons,1986
405,The Marriage Of Cadmus And Harmony,Roberto Calasso,1988
406,Alcools,Guillaume Apollinaire,1913
407,Naked Lunch,William Burroughs,1959
408,The Collected Stories of William Faulkner,William Faulkner,1950
409,Death Comes for the Archbishop,Willa Cather,1927
410,Watership Down,Richard Adams,1972
411,2001: A Space Odyssey,Arthur C. Clarke,1951
412,The Last of the Mohicans,James Fenimore Cooper,1826
413,Call It Sleep,Henry Roth,1934
414,Waiting for the Barbarians, J.M. Coetzee ,1980
415,Poems of Rumi,Jalāl al-Dīn Rūmī (Maulana),1273
416,Howl and Other Poems,Allen Ginsberg,1956
417,Selected Stories of Lu Hsun,Xun Lu,1936
418,Krapp's Last Tape,Samuel Beckett,1958
419,Utopia,Thomas More,1516
420,The Sot-Weed Factor ,John Barth,1960
421,The French Lieutenant's Woman ,John Fowles,1969
422,The Blind Assassin,Margaret Atwood,2000
423,Ferdydurke,Witold Gombrowicz,1937
424,The Importance of Being Earnest,Oscar Wilde,1895
425,The Awakening,Kate Chopin,1899
426,Arrowsmith,Sinclair Lewis,1925
427,The Collected Stories of Isaac Babel,Isaac Babel,1955
428,"Tinker, Tailor, Soldier, Spy",John Le Carre,1974
429,My Name Is Aram,William Saroyan,1940
430,Scoop,Evelyn Waugh,1938
431,Maldoror (Les Chants de Maldoror),Comte de Lautréamont,1869
432,Portnoy's Complaint ,Philip Roth,1969
433,Crash: A Novel,J. G. Ballard,1973
434,Jazz,Toni Morrison,1992
435,Varieties of Disturbance: Stories,Lydia Davis,2007
436,Hawaii,James Albert Michener,1959
437,The Poisonwood Bible,Barbara Kingsolver,1998
438,A Good Man Is Hard to Find,Flannery O'Connor,1955
439,Little Disturbances,Grace Paley,1959
440,Revolutionary Road,Richard Yates,1961
441,Silas Marner,George Eliot,1861
442,Man's Fate,Andre Malraux,1934
443,Tell Me a Riddle,Tillie Olsen,1961
444,Notes from the Underground,Fyodor Dostoyevsky,1864
445,The Cherry Orchard,Anton Chekhov,1904
446,I'm Not Stiller,Max Frisch,1957
447,The Poems of Percy Bysshe Shelley ,Percy Bysshe Shelley,1822
448,The Name of the Rose,Umberto Eco,1980
449,Prince Caspian: The Return to Narnia,C. S. Lewis,1951
450,The Magician's Nephew,"C. S. Lewis, Clive Staples Lewis",1955
451,The Voyage of the Dawn Treader: The Chronicles of Narnia,C. S. Lewis,1952
452,The Silver Chair: The Chronicles of Narnia,C. S. Lewis,1953
453,The Last Battle: The Chronicles of Narnia,C. S. Lewis,1956
454,The Horse and His Boy: The Chronicles of Narnia,C. S. Lewis,1954
455,Ragtime,E.L. Doctorow,1975
456,One Hundred and One Poems by Paul Verlaine,Paul Verlaine,1999
457,Bastard Out of Carolina,Dorothy Allison,1993
458,"Jimmy Corrigan, the Smartest Kid on Earth",Chris Ware,2001
459,Parade's End,Ford Madox Ford,1924
460,Main Street,Sinclair Lewis,1920
461,Richard III,William Shakespeare,1592
462,The Hunchback of Notre-Dame,Victor Hugo,1831
463,Collected Works of Edna St. Vincent Millay,Edna St. Vincent Millay,1950
464,Barchester Towers,Anthony Trollope,1857
465,Thérèse Raquin,Emile Zola,1867
466,The Lady with the Dog,Anton Chekhov,1899
467,Selected Poems,Pierre Ronsard,1585
468,Endgame,Samuel Beckett,1957
469,The Posthumous Memoirs of Bras Cubas,Machado de Assis,1881
470,Blindness,Jose Saramago,1998
471,"The Sea, The Sea",Iris Murdoch,1978
472,The Tartar Steppe,Dino Buzzati,1940
473,Gypsy Ballads,Federico Garcia Lorca,1928
474,The Betrothed,Alessandro Manzoni,1842
475,A Hero of Our Time,Mikhail Lermontov,1840
476,Moll Flanders,Daniel Defoe,1772
477,The Crying of Lot 49 ,Thomas Pynchon,1966
478,Masnavi,Jalal al-Din Muhammad Rumi,1250
479,Collected Stories,William Somerset Maugham,1965
480,Poems,Paul Celan,2001
481,Bostan, Saadi,1257
482,The Poems of Walt Whitman,Walt Whitman,1892
483,Murder on the Orient Express,Agatha Christie,1934
484,Season of Migration to the North,Al-Tayyib Salih,1966
485,Twice-Told Tales,Nathaniel Hawthorne,1837
486,Robert Browning's Poetry,Robert Browning,1889
487,The Sound of the Mountain,Yasunari Kawabata,1970
488,Children of Gebelawi,Naguib Mahfouz,1059
489,Watt,Samuel Beckett,1953
490,Njal's Saga,Iceland,1200
491,The Turn of the Screw,Henry James,1898
492,Poems of Friedrich Hölderlin,Friedrich Hölderlin,1843
493,The Known World,Edward P. Jones,2003
494,Les Filles du feu,Gerard de Nerval,1854
495,Sophie's Choice,William Styron,1979
496,The Last Chronicle of Barset,Anthony Trollope,1867
497,The Once and Future King,T. H. White,1958
498,Poems of Eugenio Montale,Eugenio Montale,1975
499,The Sheltering Sky ,Paul Bowles,1949
500,Dom Casmurro,Machado de Assis,1899
501,The Day of the Locust ,Nathanael West,1939
502,Some Prefer Nettles,Junichiro Tanizaki,1929
503,The Complete Writings of Alfred de Musset,Alfred de Musset,1857
504,Daphnis and Chloe,Longus,200
505,Parzival,Wolfram Eschenbach,1200
506,The Complete Poetry and Essential Prose of John Milton,John Milton,1674
507,The Complete Poems of Samuel Taylor Coleridge,Samuel Coleridge,1834
508,The House of the Seven Gables,Nathaniel Hawthorne,1851
509,The Nibelungenlied,Anonymous,1200
510,A Dance to the Music of Time,Anthony Powell,1951
511,The Secret History,Donna Tartt,1992
512,The Selected Works of Cesare Pavese,Cesare Pavese,
513,A Death in the Family ,James Agee,1957
514,Wings of the Dove,Henry James,1902
515,Disgrace,J. M. Coetzee,1999
516,Gimpel the Fool,Isaac B Singer,1957
517,Gilead,Marilynne Robinson,2004
518,The Joy Luck Club,Amy Tan,1989
519,A Separate Peace,John Knowles,1959
520,The Tale of Peter Rabbit,Beatrix Potter,1902
521,Cyrano de Bergerac,Edmond Rostand,1897
522,The Fall,Albert Camus,1956
523,The Moon and the Bonfires,Cesare Pavese,1949
524,We,Yevgeny Zamyatin,1921
525,Wise Blood,Flannery O'Connor,1952
526,Complete Poems,Elizabeth Bishop,1979
527,The Collected Poems of William Carlos Williams: 1909-1939,William Carlos Williams,1939
528,Cathedral,Raymond Carver,1984
529,"The Figaro Trilogy: The Barber of Seville, The Marriage of Figaro, The Guilty Mother",Pierre-Augustin Caron de Beaumarchais,1792
530,The Collected Stories of Eudora Welty,Eudora Welty,1982
531,Les Tragiques,Agrippa d'Aubigné,1616
532,Birds of America,Lorrie Moore,1998
533,His Dark Materials,Philip Pullman,1995
534,Les Destinées,Alfred de Vigny,1864
535,Love Medicine,Louise Erdrich,1984
536,Betrayed by Rita Hayworth,Manuel Puig,1968
537,The Hobbit,J. R. R. Tolkien ,1937
538,The Emigrants,Winfried Georg Sebald,1992
539,Daniel Deronda ,George Eliot,1876
540,Poet in New York,Frederico García Lorca,1929
541,Andersonville,MacKinlay Kantor,1955
542,The Man in the High Castle,Philip K. Dick,1962
543,Six Characters in Search of an Author,Luigi Pirandello,1921
544,The Transit of Venus,Shirley Hazzard,1980
545,Cold Mountain,Charles Frazier,1997
546,Ubu Roi,Alfred Jarry,1896
547,A Lost Lady,Willa Cather,1923
548,The Collected Works of Paul Valéry,Paul Valéry,1945
549,The Hamlet,William Faulkner,1940
550,Lunch Poems,Frank O'Hara,1964
551,Three Lives,Gertrude Stein,1909
552,Conversation in the Cathedral,Mario Vargas Llosa,1969
553,The Complete Poetry of César Vallejo,César Vallejo,1979
554,Carmen,Prosper Mérimée,1845
555,Marivaux: Three Plays,Pierre Carlet de Chamblain de Marivaux,1763
556,La légende des siècles,Victor Hugo,1859
557,The Last Books of Hector Viel Temperley,Hector Viel Temperley ,1982
558,Poems of Pablo Neruda,Pablo Neruda,1975
559,The Burning Plain and Other Stories,Juan Rulfo,1953
560,Los lanzallamas,Roberto Arlt,1931
561,Calligrammes,Guillaume Apollinaire,1918
562,Juan De Mairena,Antonio Machado,1936
563,La Regenta,Clarín,1884
564,The Poems of Jaime Gil de Biedma ,Jaime Gil de Biedma ,1982
565,Rimas,Gustavo Adolfo Bécquer,1850
566,Fortunata and Jacinta,Benito Pérez Galdós,1887
567,Celestina,Fernando de Rojas,1499
568,The Shipyard,Juan Carlos Onetti,1961
569,Residence on Earth,Pablo Neruda,1933
570,Trilce,César Vallejo,1922
571,Three Trapped Tigers,Guillermo Cabrera Infante,1967
572,In Chancery,John Galsworthy,1920
573,Indian Summer of a Forsyte,John Galsworthy,1918
574,Death on Credit,Louis-Ferdinand Céline,1936
575,The Hardy Boys,Franklin W. Dixon,1927
576,Awakening,John Galsworthy,1920
577,Tarzan of the Apes,Edgar Rice Burroughs,1912
578,Lad: a Dog,Albert Payson Terhune,1919
579,The Manticore,Robertson Davies,1972
580,The Progress of Love,Alice Munro,1986
581,Nero Wolfe,Rex Stout,1934
582,Fifth Business,Robertson Davies,1970
583,World of Wonders,Robertson Davies,1975
584,To Let,John Galsworthy,1921
585,The Man of Property,John Galsworth,1906
586,One Day in the Life of Ivan Denisovich,Aleksandr Solzhenitsyn,1962
587,Kolyma Tales,Varlan Shalanov,1954
588,The Sirens of Titan,Kurt Vonnegut,1959
