id,title,author,avg_rating,ratings,url,img,pages,year
80,Quotations from Chairman Mao Tse-Tung,Mao Tse-tung,3.17,"1,113",/book/show/9751.Quotations_from_Chairman_Mao_Tse_Tung,https://d2arxad8u2l0g7.cloudfront.net/books/1438125544l/9751.jpg,311,1964
81,Hungary S Crisis of Democracy: The Road to Serfdom,Peter Wilkin,0.00,0,/book/show/30991946-hungary-s-crisis-of-democracy,https://d2arxad8u2l0g7.cloudfront.net/books/1470638952l/30991946.jpg,250,1944
82,The Seven Storey Mountain,Thomas Merton,4.16,"9,358",/book/show/175078.The_Seven_Storey_Mountain,https://d2arxad8u2l0g7.cloudfront.net/books/1347432281l/175078.jpg,467,1948
83,Let Us Now Praise Famous Men,James Agee,4.11,"2,582",/book/show/243360.Let_Us_Now_Praise_Famous_Men,https://d2arxad8u2l0g7.cloudfront.net/books/1388278565l/243360.jpg,432,1941
84,The Golden Bough,James George Frazer,4.01,"6,125",/book/show/408862.The_Golden_Bough,https://d2arxad8u2l0g7.cloudfront.net/books/1174504446l/408862.jpg,880,1890
85,Wuthering Heights Thrift Study Edition,Emily Brontë,3.81,"881,295",/book/show/7333142-wuthering-heights-thrift-study-edition,https://d2arxad8u2l0g7.cloudfront.net/books/1328863395l/7333142.jpg,352,1961
86,The George Sand Gustave-Flaubert Letters,George Sand and Gustave Flaubert,really liked it 4.00,,/book/show/30019059-the-george-sand-gustave-flaubert-letters,,240,1921
87,"History of My Life, Vols. I & II",Giacomo Casanova,4.30,232,/book/show/748556.History_of_My_Life_Vols_I_II,,728,1822
88,"Institutes of the Christian Religion, 2 Vols",John Calvin,4.16,"6,191",/book/show/232467.Institutes_of_the_Christian_Religion_2_Vols,https://d2arxad8u2l0g7.cloudfront.net/books/1390959170l/232467.jpg,1800,1536
89,Common Sense,Thomas Paine,3.95,"19,972",/book/show/161744.Common_Sense,https://d2arxad8u2l0g7.cloudfront.net/books/1309209451l/161744.jpg,104,1775
90,Praise of Folly,Desiderius Erasmus,3.88,"7,621",/book/show/449017.Praise_of_Folly,https://d2arxad8u2l0g7.cloudfront.net/books/1386354896l/449017.jpg,256,1509
91,The Net And The Quest: Patterns Of Community And How They Can Survive Progress,Ralph Glasser,0.00,0,/book/show/4721250-the-net-and-the-quest,,263,1953
92,Black Boy,Richard Wright,really liked it 4.00,"36,700",/book/show/228630.Black_Boy,https://d2arxad8u2l0g7.cloudfront.net/books/1440889513l/228630.jpg,419,1945
93,The Open Society in Theory and Practice,Dante L. Germino,0.00,0,/book/show/5493969-the-open-society-in-theory-and-practice,https://d2arxad8u2l0g7.cloudfront.net/books/1348512950l/5493969.jpg,334,1945
94,Apology,Plato,4.13,"18,348",/book/show/73945.Apology,https://d2arxad8u2l0g7.cloudfront.net/books/1212606317l/73945.jpg,127,-399
95,On the Genealogy of Morality & Other Writings,Friedrich Nietzsche,4.12,655,/book/show/80448.On_the_Genealogy_of_Morality_Other_Writings,https://d2arxad8u2l0g7.cloudfront.net/books/1347590304l/80448.jpg,195,1887
96,"Memoirs of Jean Francois Paul de Gondi, Cardinal de Retz - Volume 3",Jean François Paul de Gondi,0.00,0,/book/show/29062830-memoirs-of-jean-francois-paul-de-gondi-cardinal-de-retz---volume-3,,48,1717
97,Out of Africa,Isak Dinesen,3.96,"20,751",/book/show/781787.Out_of_Africa,https://d2arxad8u2l0g7.cloudfront.net/books/1178296503l/781787.jpg,399,1937
98,Seven Pillars of Wisdom: A Triumph,T.E. Lawrence,4.01,"4,606",/book/show/57936.Seven_Pillars_of_Wisdom,https://d2arxad8u2l0g7.cloudfront.net/books/1393786656l/57936.jpg,784,1926
99,The Myth of Sisyphus,Albert Camus,4.11,"8,646",/book/show/91950.The_Myth_of_Sisyphus,https://d2arxad8u2l0g7.cloudfront.net/books/1347654509l/91950.jpg,192,1942
100,I Know Why the Caged Bird Sings,Maya Angelou,4.16,"247,622",/book/show/13214.I_Know_Why_the_Caged_Bird_Sings,https://d2arxad8u2l0g7.cloudfront.net/books/1327957927l/13214.jpg,246,1969
101,"The Memoirs of the Duke of Saint-Simon on the Reign of Louis XIV and the Regency, Volume 2",Louis de Rouvroy Saint-Simon (duc de),0.00,0,/book/show/29037146-the-memoirs-of-the-duke-of-saint-simon-on-the-reign-of-louis-xiv-and-the,,398,1755
102,A Brief History of Time,Stephen Hawking,4.10,"160,537",/book/show/3869.A_Brief_History_of_Time,https://d2arxad8u2l0g7.cloudfront.net/books/1333578746l/3869.jpg,212,
103,The Electric Kool-Aid Acid Test,Tom Wolfe,3.92,"54,030",/book/show/7442.The_Electric_Kool_Aid_Acid_Test,https://d2arxad8u2l0g7.cloudfront.net/books/1388205477l/7442.jpg,416,1968
104,On The Revolutions of Heavenly Spheres,Nicolaus Copernicus,4.09,561,/book/show/96663.On_The_Revolutions_of_Heavenly_Spheres,https://d2arxad8u2l0g7.cloudfront.net/books/1347276572l/96663.jpg,408,1543
105,The Corpus: The Hippocratic Writings,Hippocrates,3.52,27,/book/show/3937109-the-corpus,https://d2arxad8u2l0g7.cloudfront.net/books/1348774039l/3937109.jpg,208,-300
106,The Death and Life of Great American Cities,Jane Jacobs,4.31,"7,510",/book/show/30833.The_Death_and_Life_of_Great_American_Cities,https://d2arxad8u2l0g7.cloudfront.net/books/1168135326l/30833.jpg,472,1961
107,The Autobiography of Mrs. Tom Thumb,Melanie Benjamin,3.65,"7,252",/book/show/9689093-the-autobiography-of-mrs-tom-thumb,https://d2arxad8u2l0g7.cloudfront.net/books/1320416504l/9689093.jpg,424,1926
108,The Rise and Fall of the Third Reich: A History of Nazi Germany,William L. Shirer,4.14,"57,490",/book/show/767171.The_Rise_and_Fall_of_the_Third_Reich,https://d2arxad8u2l0g7.cloudfront.net/books/1331223772l/767171.jpg,1614,110
109,The Waning of the Middle Ages,Johan Huizinga,4.05,"2,248",/book/show/903778.The_Waning_of_the_Middle_Ages,https://d2arxad8u2l0g7.cloudfront.net/books/1328866980l/903778.jpg,352,1919
110,Three Essays on the Theory of Sexuality,Sigmund Freud,3.68,"3,511",/book/show/85410.Three_Essays_on_the_Theory_of_Sexuality,https://d2arxad8u2l0g7.cloudfront.net/books/1329053933l/85410.jpg,240,1905
111,An Enquiry Concerning Human Understanding,David Hume,3.89,"11,730",/book/show/130119.An_Enquiry_Concerning_Human_Understanding,https://d2arxad8u2l0g7.cloudfront.net/books/1348617665l/130119.jpg,96,1748
112,The Philosophy of the I Ching,Carol K. Anthony,really liked it 4.00,12,/book/show/183321.The_Philosophy_of_the_I_Ching,https://d2arxad8u2l0g7.cloudfront.net/books/1386749176l/183321.jpg,148,-1400
113,Let the Good Times Roll: The Story of Louis Jordan and His Music,John Chilton,liked it 3.00,4,/book/show/699242.Let_the_Good_Times_Roll,https://d2arxad8u2l0g7.cloudfront.net/books/1348247508l/699242.jpg,320,1972
114,The Conservative Mind: From Burke to Eliot,Russell Kirk,4.09,859,/book/show/568864.The_Conservative_Mind,https://d2arxad8u2l0g7.cloudfront.net/books/1388300226l/568864.jpg,534,1953
115,Words of Silk,Sandra Brown,3.54,"2,586",/book/show/30357.Words_of_Silk,https://d2arxad8u2l0g7.cloudfront.net/books/1388175616l/30357.jpg,224,1963
116,The Varieties of Religious Experience,William James,4.06,"7,427",/book/show/28820.The_Varieties_of_Religious_Experience,https://d2arxad8u2l0g7.cloudfront.net/books/1167956957l/28820.jpg,519,1902
117,Up from Slavery,Booker T. Washington,4.06,"14,755",/book/show/827685.Up_from_Slavery,https://d2arxad8u2l0g7.cloudfront.net/books/1178732859l/827685.jpg,256,1901
118,The Feynman Lectures on Physics Vols 7-8,Richard Feynman,4.84,19,/book/show/17277.The_Feynman_Lectures_on_Physics_Vols_7_8,https://d2arxad8u2l0g7.cloudfront.net/books/1348995054l/17277.jpg,0,1995
119,Slouching Towards Bethlehem,Joan Didion,4.24,"17,256",/book/show/424.Slouching_Towards_Bethlehem,https://d2arxad8u2l0g7.cloudfront.net/books/1327952074l/424.jpg,238,1968
120,A Dictionary of the English Language: an Anthology,Samuel Johnson,4.20,101,/book/show/765557.A_Dictionary_of_the_English_Language,https://d2arxad8u2l0g7.cloudfront.net/books/1311702101l/765557.jpg,704,1755
121,An Essay Concerning Human Understanding,John Locke,3.81,"11,100",/book/show/90078.An_Essay_Concerning_Human_Understanding,https://d2arxad8u2l0g7.cloudfront.net/books/1416179522l/90078.jpg,384,1690
122,Aspects of Narration in Peter Carey's Novels: Deconstructing Colonialism,Hermine Krassnitzer,liked it 3.00,,/book/show/111115.Aspects_of_Narration_in_Peter_Carey_s_Novels,,146,1927
123,The Autobiography of Alice B. Toklas,Gertrude Stein,3.61,"6,005",/book/show/527495.The_Autobiography_of_Alice_B_Toklas,https://d2arxad8u2l0g7.cloudfront.net/books/1403192593l/527495.jpg,252,1933
124,An American Dilemma Revisited,Gunnar Myrdal,3.60,5,/book/show/729978.An_American_Dilemma_Revisited,,,1944
125,Mythology: Timeless Tales of Gods and Heroes,Edith Hamilton,3.98,"33,067",/book/show/23522.Mythology,https://d2arxad8u2l0g7.cloudfront.net/books/1305000423l/23522.jpg,497,1942
126,The Frontier in American History,Frederick Jackson Turner,3.80,863,/book/show/1074893.The_Frontier_in_American_History,https://d2arxad8u2l0g7.cloudfront.net/books/1328867631l/1074893.jpg,348,1920
