id,title,author,avg_rating,ratings,url,img,pages,year
1026,A History of American Magazines,Frank Luther Mott,4.50,2,/book/show/4938420-a-history-of-american-magazines,,5,1939
1027,Days of Sorrow and Pain: Leo Baeck and the Berlin Jews,Leonard Baker,3.89,9,/book/show/998087.Days_of_Sorrow_and_Pain,https://d2arxad8u2l0g7.cloudfront.net/books/1386389419l/998087.jpg,396,1978
1028,A Life's Work: On Becoming a Mother,Rachel Cusk,3.60,535,/book/show/522426.A_Life_s_Work,https://d2arxad8u2l0g7.cloudfront.net/books/1312001649l/522426.jpg,228,2001
1029,"George Bancroft, Brahmin Rebel",Russel B. Nye,liked it 3.00,3,/book/show/2595715-george-bancroft-brahmin-rebel,,340,1945
1030,The Dialogue in Hell Between Machiavelli and Montesquieu: Humanitarian Despotism and the Conditions of Modern Tyranny,Maurice Joly,4.03,120,/book/show/316184.The_Dialogue_in_Hell_Between_Machiavelli_and_Montesquieu,https://d2arxad8u2l0g7.cloudfront.net/books/1368034762l/316184.jpg,418,1989
1031,Dragons of Eden: Speculations on the Evolution of Human Intelligence,Carl Sagan,4.16,"12,744",/book/show/32276.Dragons_of_Eden,https://d2arxad8u2l0g7.cloudfront.net/books/1429540203l/32276.jpg,271,1977
1032,Puritan Village: The Formation of a New England Town,Sumner Chilton Powell,3.50,20,/book/show/1216733.Puritan_Village,https://d2arxad8u2l0g7.cloudfront.net/books/1347255514l/1216733.jpg,255,1963
1033,Earth: An Intimate History,Richard Fortey,3.88,792,/book/show/373572.Earth,https://d2arxad8u2l0g7.cloudfront.net/books/1320478985l/373572.jpg,448,2004
1034,The Private Memoirs and Confessions of a Justified Sinner,James Hogg,3.67,"4,844",/book/show/87580.The_Private_Memoirs_and_Confessions_of_a_Justified_Sinner,https://d2arxad8u2l0g7.cloudfront.net/books/1407402411l/87580.jpg,258,1968
1035,People of Paradox,Michael Kammen,liked it 3.00,,/book/show/28143419-people-of-paradox,https://d2arxad8u2l0g7.cloudfront.net/books/1449593807l/28143419.jpg,368,1973
1036,"Roosevelt: The Soldier of Freedom, 1940-1945",James MacGregor Burns,4.12,189,/book/show/561644.Roosevelt,https://d2arxad8u2l0g7.cloudfront.net/books/1439675816l/561644.jpg,736,1970
1037,Jackson Pollock: An American Saga,Gregory Smith Steven Naifeh,4.45,11,/book/show/25684653-jackson-pollock,https://d2arxad8u2l0g7.cloudfront.net/books/1442706279l/25684653.jpg,,1989
1038,Voices from Chernobyl: The Oral History of a Nuclear Disaster,Svetlana Alexievich,4.42,"6,513",/book/show/357486.Voices_from_Chernobyl,https://d2arxad8u2l0g7.cloudfront.net/books/1316637138l/357486.jpg,236,2005
1039,Khrushchev: The Man and His Era,William Taubman,4.02,735,/book/show/334050.Khrushchev,https://d2arxad8u2l0g7.cloudfront.net/books/1388250699l/334050.jpg,896,2003
1040,"Edmund Pendleton, 1721-1803: A Biography",David J. Mays,0.00,0,/book/show/2361574.Edmund_Pendleton_1721_1803,,0,1952
